nombre,weight_class,Genre,Fight,Year,total_rounds_fought,total_title_bouts,current_win_streak,current_lose_streak,longest_win_streak,wins,losses,draw,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,Stance,ID_peleador
Nasrat Haqparast,Lightweight,Male,2020-01-18,2020,11,0,0,1,3,3,1,0,0,0,2,1,0,0,Southpaw,1942
Nasrat Haqparast,Lightweight,Male,2019-08-03,2019,11,0,0,1,3,3,1,0,0,0,2,1,0,0,Southpaw,1942
Nasrat Haqparast,Lightweight,Male,2018-10-27,2018,11,0,0,1,3,3,1,0,0,0,2,1,0,0,Southpaw,1942
Nasrat Haqparast,Lightweight,Male,2017-10-21,2017,11,0,0,1,3,3,1,0,0,0,2,1,0,0,Southpaw,1942
Cortney Casey,Flyweight,Women,2021-03-13,2021,30,0,0,2,2,5,7,0,0,1,1,1,2,0,Orthodox,2235
Cortney Casey,Flyweight,Women,2020-06-20,2020,30,0,0,2,2,5,7,0,0,1,1,1,2,0,Orthodox,2235
Cortney Casey,Flyweight,Women,2020-05-16,2020,30,0,0,2,2,5,7,0,0,1,1,1,2,0,Orthodox,2235
Cortney Casey,Flyweight,Women,2019-02-17,2019,30,0,0,2,2,5,7,0,0,1,1,1,2,0,Orthodox,2235
Cortney Casey,Peso_Pactado,Women,2018-08-25,2018,20,0,0,2,2,3,5,0,0,0,1,1,1,0,Orthodox,2235
Cortney Casey,Peso_Pactado,Women,2016-07-13,2016,20,0,0,2,2,3,5,0,0,0,1,1,1,0,Orthodox,2235
Cortney Casey,Flyweight,Women,2015-07-18,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,2235
Cortney Casey,Error,Women,2018-04-14,2018,17,0,0,2,2,3,4,0,0,0,1,1,1,0,Orthodox,2235
Cortney Casey,Error,Women,2017-12-02,2017,17,0,0,2,2,3,4,0,0,0,1,1,1,0,Orthodox,2235
Cortney Casey,Error,Women,2017-05-13,2017,17,0,0,2,2,3,4,0,0,0,1,1,1,0,Orthodox,2235
Cortney Casey,Error,Women,2016-11-19,2016,17,0,0,2,2,3,4,0,0,0,1,1,1,0,Orthodox,2235
Cortney Casey,Error,Women,2016-08-20,2016,17,0,0,2,2,3,4,0,0,0,1,1,1,0,Orthodox,2235
Cortney Casey,Error,Women,2015-11-28,2015,17,0,0,2,2,3,4,0,0,0,1,1,1,0,Orthodox,2235
Matthew Semelsberger,Welterweight,Male,2021-03-13,2021,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Switch,1786
Matthew Semelsberger,Welterweight,Male,2020-08-22,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Switch,1786
Rani Yahya,Bantamweight,Male,2021-03-13,2021,42,0,1,0,4,11,6,0,0,1,4,0,6,0,Orthodox,2317
Rani Yahya,Bantamweight,Male,2019-02-09,2019,42,0,1,0,4,11,6,0,0,1,4,0,6,0,Orthodox,2317
Rani Yahya,Bantamweight,Male,2018-08-25,2018,42,0,1,0,4,11,6,0,0,1,4,0,6,0,Orthodox,2317
Rani Yahya,Bantamweight,Male,2018-02-24,2018,42,0,1,0,4,11,6,0,0,1,4,0,6,0,Orthodox,2317
Rani Yahya,Bantamweight,Male,2017-03-11,2017,42,0,1,0,4,11,6,0,0,1,4,0,6,0,Orthodox,2317
Rani Yahya,Bantamweight,Male,2016-09-24,2016,42,0,1,0,4,11,6,0,0,1,4,0,6,0,Orthodox,2317
Rani Yahya,Bantamweight,Male,2016-07-13,2016,42,0,1,0,4,11,6,0,0,1,4,0,6,0,Orthodox,2317
Rani Yahya,Bantamweight,Male,2015-07-15,2015,42,0,1,0,4,11,6,0,0,1,4,0,6,0,Orthodox,2317
Rani Yahya,Bantamweight,Male,2014-09-13,2014,42,0,1,0,4,11,6,0,0,1,4,0,6,0,Orthodox,2317
Rani Yahya,Bantamweight,Male,2014-04-11,2014,42,0,1,0,4,11,6,0,0,1,4,0,6,0,Orthodox,2317
Rani Yahya,Error,Male,2020-03-14,2020,39,0,1,0,4,11,5,0,0,1,4,0,6,0,Orthodox,2317
Rani Yahya,Error,Male,2013-11-30,2013,39,0,1,0,4,11,5,0,0,1,4,0,6,0,Orthodox,2317
Rani Yahya,Error,Male,2013-08-03,2013,39,0,1,0,4,11,5,0,0,1,4,0,6,0,Orthodox,2317
Rani Yahya,Error,Male,2011-01-22,2011,39,0,1,0,4,11,5,0,0,1,4,0,6,0,Orthodox,2317
Rani Yahya,Bantamweight,Male,2017-08-05,2017,31,0,1,0,4,8,4,0,0,1,4,0,3,0,Orthodox,2317
Rani Yahya,Peso_Pactado,Male,2013-03-02,2013,7,0,1,0,1,2,1,0,0,0,1,0,1,0,Orthodox,2317
Rani Yahya,Peso_Pactado,Male,2012-08-04,2012,7,0,1,0,1,2,1,0,0,0,1,0,1,0,Orthodox,2317
Rani Yahya,Peso_Pactado,Male,2011-08-06,2011,7,0,1,0,1,2,1,0,0,0,1,0,1,0,Orthodox,2317
Gloria de Paula,Strawweight,Women,2021-03-13,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,23
Dominick Cruz,Error,Male,2021-03-06,2021,28,6,5,0,5,5,2,0,0,1,3,1,0,0,Orthodox,1890
Dominick Cruz,Bantamweight,Male,2016-12-30,2016,21,4,5,0,5,5,0,0,0,1,3,1,0,0,Orthodox,1890
Dominick Cruz,Bantamweight,Male,2016-06-04,2016,21,4,5,0,5,5,0,0,0,1,3,1,0,0,Orthodox,1890
Dominick Cruz,Bantamweight,Male,2014-09-27,2014,21,4,5,0,5,5,0,0,0,1,3,1,0,0,Orthodox,1890
Dominick Cruz,Bantamweight,Male,2011-07-02,2011,21,4,5,0,5,5,0,0,0,1,3,1,0,0,Orthodox,1890
Dominick Cruz,Peso_Pactado,Male,2011-10-01,2011,5,1,1,0,1,1,0,0,0,0,1,0,0,0,Orthodox,1890
Dominick Cruz,Error,Male,2016-01-17,2016,11,2,3,0,3,3,0,0,0,0,2,1,0,0,Orthodox,1890
Dominick Cruz,Bantamweight,Male,2020-05-09,2020,26,5,5,0,5,5,1,0,0,1,3,1,0,0,Orthodox,1890
Song Yadong,Peso_Pactado,Male,2021-03-06,2021,13,0,4,0,4,5,1,0,0,0,2,2,1,0,Orthodox,1957
Song Yadong,Peso_Pactado,Male,2020-05-16,2020,13,0,4,0,4,5,1,0,0,0,2,2,1,0,Orthodox,1957
Song Yadong,Peso_Pactado,Male,2017-11-25,2017,13,0,4,0,4,5,1,0,0,0,2,2,1,0,Orthodox,1957
Song Yadong,Featherweight,Male,2018-11-24,2018,3,0,2,0,2,2,0,0,0,0,0,1,1,0,Orthodox,1957
Song Yadong,Featherweight,Male,2019-12-07,2019,7,0,4,0,4,4,0,0,0,0,1,2,1,0,Orthodox,1957
Song Yadong,Featherweight,Male,2019-07-06,2019,7,0,4,0,4,4,0,0,0,0,1,2,1,0,Orthodox,1957
Song Yadong,Error,Male,2018-06-23,2018,1,0,1,0,1,1,0,0,0,0,0,0,1,0,Orthodox,1957
Petr Yan,Bantamweight,Male,2021-03-06,2021,20,1,7,0,7,7,0,0,0,0,3,4,0,0,Switch,2072
Petr Yan,Bantamweight,Male,2020-07-11,2020,20,1,7,0,7,7,0,0,0,0,3,4,0,0,Switch,2072
Petr Yan,Bantamweight,Male,2019-12-14,2019,20,1,7,0,7,7,0,0,0,0,3,4,0,0,Switch,2072
Petr Yan,Bantamweight,Male,2018-09-15,2018,20,1,7,0,7,7,0,0,0,0,3,4,0,0,Switch,2072
