nombre,weight_class,Genre,Height_cms,Reach_cms,Weight_lbs,ID_peleador
Jens Pulver,Peso_Pactado,Male,170.18,177.8,145.0,3202
Jens Pulver,Error,Male,170.18,177.8,145.0,3202
Jens Pulver,Featherweight,Male,170.18,177.8,145.0,3202
Kevin Randleman,Light heavyweight,Male,177.8,182.42,205.0,3351
Kevin Randleman,Error,Male,177.8,182.42,205.0,3351
Andrei Semenov,Middleweight,Male,182.88,187.08,185.0,3332
Andrei Semenov,Peso_Pactado,Male,182.88,187.08,185.0,3332
Dave Menne,Welterweight,Male,177.8,182.42,170.0,3228
Dave Menne,Peso_Pactado,Male,177.8,182.42,170.0,3228
Jutaro Nakao,Error,Male,175.26,180.12,170.0,3338
Jutaro Nakao,Welterweight,Male,175.26,180.12,170.0,3338
Pat Miletich,Peso_Pactado,Male,177.8,182.42,170.0,3339
Pat Miletich,Welterweight,Male,177.8,182.42,170.0,3339
Semmy Schilt,Error,Male,208.28,0.0,265.0,3349
Semmy Schilt,Peso_Pactado,Male,208.28,0.0,265.0,3349
Shonie Carter,Welterweight,Male,177.8,182.42,170.0,3229
Shonie Carter,Peso_Pactado,Male,177.8,182.42,170.0,3229
Fabiano Iha,Lightweight,Male,172.72,177.39,155.0,3346
Fabiano Iha,Error,Male,172.72,177.39,155.0,3346
Fabiano Iha,Peso_Pactado,Male,172.72,177.39,155.0,3346
Bobby Hoffman,Error,Male,187.96,192.54,245.0,3343
Elvis Sinosic,Error,Male,190.5,195.58,205.0,3216
Elvis Sinosic,Light heavyweight,Male,190.5,195.58,205.0,3216
Elvis Sinosic,Peso_Pactado,Male,190.5,195.58,205.0,3216
Ben Earwood,Welterweight,Male,172.72,177.39,170.0,1438
Mark Hughes,Light heavyweight,Male,175.26,180.12,205.0,1439
Yuki Kondo,Peso_Pactado,Male,180.34,184.97,183.0,3348
Yuki Kondo,Error,Male,180.34,184.97,183.0,3348
Maurice Smith,Error,Male,187.96,192.54,221.0,3359
Maurice Smith,Peso_Pactado,Male,187.96,192.54,221.0,3359
Brad Gumm,Welterweight,Male,180.34,184.97,170.0,3375
Tyrone Roberts,Error,Male,175.26,180.12,185.0,1443
Amaury Bitetti,Error,Male,175.26,180.12,185.0,3456
Amaury Bitetti,Peso_Pactado,Male,175.26,180.12,185.0,3456
Laverne Clark,Error,Male,180.34,184.97,170.0,3365
