,R_KD,B_KD,R_SIG_STR_pct,B_SIG_STR_pct,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_REV,B_REV,R_CTRL,B_CTRL,Height_Red,Weight_Red,Stance_Red,SLpM_Red,Str_Acc_Red,SApM_Red,Str_Def_Red,TD_Avg_Red,TD_Acc_Red,TD_Def_Red,Sub_Avg_Red,Height_Blue,Weight_Blue,Stance_Blue,SLpM_Blue,Str_Acc_Blue,SApM_Blue,Str_Def_Blue,TD_Avg_Blue,TD_Acc_Blue,TD_Def_Blue,Sub_Avg_Blue,winner_color,R_SIG_STRIKE_LANDED,R_SIG_STRIKE_TOTAL,B_SIG_STRIKE_LANDED,B_SIG_STRIKE_TOTAL,R_TOTAL_STRIKE_LANDED,R_TOTAL_STRIKE_TOTAL,B_TOTAL_STRIKE_LANDED,B_TOTAL_STRIKE_TOTAL,R_TD_STRIKE_LANDED,R_TD_STRIKE_TOTAL,B_TD_STRIKE_LANDED,B_TD_STRIKE_TOTAL,R_HEAD_LANDED,R_HEAD_TOTAL,B_HEAD_LANDED,B_HEAD_TOTAL,R_BODY_LANDED,R_BODY_TOTAL,B_BODY_LANDED,B_BODY_TOTAL,R_LEG_LANDED,R_LEG_TOTAL,B_LEG_LANDED,B_LEG_TOTAL,R_DISTANCE_LANDED,R_DISTANCE_TOTAL,B_DISTANCE_LANDED,B_DISTANCE_TOTAL,R_CLINCH_LANDED,R_CLINCH_TOTAL,B_CLINCH_LANDED,B_CLINCH_TOTAL,R_GROUND_LANDED,R_GROUND_TOTAL,B_GROUND_LANDED,B_GROUND_TOTAL,weightclass,titlebout
682,1,0,57,19,100,0,0,0,0,0,0,9,74,170,Orthodox,4.64,55,3.89,50,0.8,40,100,1.2,71,170,Orthodox,3.59,38,5.08,59,0.93,100,0,0.0,1,35,61,8,42,35,61,8,42,1,1,0,0,16,38,2,30,3,7,0,4,16,16,6,8,29,51,8,42,0,0,0,0,6,10,0,0,welterweight,0
683,0,0,41,21,0,0,0,0,0,0,20,0,72,185,Southpaw,4.78,45,3.19,66,1.33,45,78,0.8,73,185,Orthodox,4.48,42,5.05,51,1.92,31,100,0.0,1,85,205,39,185,86,206,39,185,0,0,0,2,72,187,21,146,10,14,6,17,3,4,12,22,74,188,38,183,11,17,1,2,0,0,0,0,middleweight,0
684,0,0,46,36,50,100,0,0,0,0,112,21,65,125,Southpaw,3.76,41,4.55,61,0.8,40,57,0.0,65,125,Orthodox,4.08,41,3.77,58,0.7,50,71,0.0,1,74,160,54,147,78,164,60,153,1,2,1,1,59,142,34,117,10,11,10,20,5,7,10,10,70,151,52,145,4,9,2,2,0,0,0,0,womens flyweight,0
685,0,1,66,33,0,0,0,0,0,0,69,12,72,264,Southpaw,5.33,59,4.6,46,0.0,0,100,0.0,72,250,Orthodox,2.61,44,3.9,55,0.0,0,75,0.0,0,6,9,4,12,17,20,6,14,0,0,0,0,5,8,2,10,1,1,2,2,0,0,0,0,2,3,4,8,4,6,0,4,0,0,0,0,heavyweight,0
686,0,2,27,42,0,0,0,0,0,0,0,4,72,185,Orthodox,4.52,40,3.44,60,0.43,27,84,0.0,76,185,Switch,3.95,49,2.63,61,0.0,0,82,0.3,0,32,116,40,95,32,116,40,95,0,0,0,0,20,97,27,80,3,5,6,8,9,14,7,7,32,116,37,91,0,0,0,0,0,0,3,4,middleweight,1
687,0,0,44,13,0,0,0,0,0,0,49,3,71,170,Orthodox,3.03,44,2.16,61,1.93,41,66,0.6,70,170,Switch,1.8,25,3.97,57,1.0,40,87,0.0,1,59,133,15,110,61,136,15,110,0,2,0,0,19,76,8,94,20,35,6,15,20,22,1,1,53,127,11,104,6,6,4,6,0,0,0,0,welterweight,0
688,0,0,42,54,0,75,0,1,0,0,5,261,74,264,Southpaw,4.38,50,3.44,50,0.0,0,46,0.0,75,260,Orthodox,3.58,49,2.84,58,3.7,63,75,0.3,0,21,50,23,42,22,51,40,60,0,0,6,8,8,32,22,41,4,8,1,1,9,10,0,0,17,39,8,27,4,9,1,1,0,2,14,14,heavyweight,0
689,0,0,59,37,100,20,0,1,1,1,179,203,67,155,Orthodox,4.36,50,2.62,53,1.0,37,60,0.0,72,155,Orthodox,1.87,33,4.6,42,4.0,30,66,0.5,1,91,153,36,95,104,167,41,100,1,1,3,15,70,129,25,83,14,16,4,4,7,8,7,8,63,121,35,93,3,3,0,0,25,29,1,2,lightweight,0
690,0,1,31,47,0,0,0,0,0,0,24,149,70,155,Orthodox,4.06,40,4.44,61,0.64,18,74,0.2,72,155,Switch,4.95,48,4.92,51,0.72,34,79,0.3,0,37,116,98,207,38,117,104,213,0,3,0,1,21,93,68,168,7,11,7,13,9,12,23,26,37,116,76,182,0,0,0,0,0,0,22,25,lightweight,0
691,0,0,50,38,75,0,0,1,1,1,505,94,72,170,Orthodox,3.18,50,4.72,58,3.29,66,100,0.0,70,185,Orthodox,4.2,44,3.71,56,2.42,52,55,0.5,1,48,96,60,155,127,198,103,198,3,4,0,2,44,91,49,142,2,3,9,11,2,2,2,2,41,89,60,155,4,4,0,0,3,3,0,0,welterweight,0
692,0,0,25,30,0,33,0,0,0,0,0,160,71,170,Orthodox,2.93,43,3.17,58,0.25,100,86,0.0,74,170,Orthodox,3.14,38,3.93,59,1.38,42,73,0.7,0,24,95,32,105,24,95,49,124,0,0,2,6,17,85,15,72,1,4,2,12,6,6,15,21,24,95,30,99,0,0,0,0,0,0,2,6,welterweight,0
693,0,0,55,40,50,0,1,0,0,1,203,23,72,145,Orthodox,1.76,46,3.35,37,0.52,25,53,0.5,68,145,Orthodox,1.98,45,6.61,39,0.0,0,50,0.0,1,10,18,2,5,22,33,32,45,1,2,0,0,10,17,2,5,0,1,0,0,0,0,0,0,0,4,2,5,0,1,0,0,10,13,0,0,womens featherweight,0
695,0,1,34,44,50,0,0,0,0,0,63,10,65,125,Southpaw,3.13,41,4.48,48,0.46,33,40,2.8,67,125,Orthodox,4.5,34,4.94,57,0.0,0,42,0.0,0,45,131,80,179,53,139,83,185,1,2,0,0,9,67,64,151,31,56,12,19,5,8,4,9,40,119,74,167,4,8,5,8,1,4,1,4,womens flyweight,0
696,0,0,57,41,80,0,0,0,0,0,80,0,73,205,Southpaw,5.1,39,3.37,48,2.41,71,80,0.0,73,205,Southpaw,3.06,38,3.63,49,0.0,0,50,0.2,1,15,26,5,12,16,27,5,12,4,5,0,0,14,25,4,11,1,1,1,1,0,0,0,0,1,5,3,7,1,2,2,5,13,19,0,0,light heavyweight,0
